symbol,closing_price,15day closing_price,trade,value_mn,volume
beximco,40.5,45.9,7438,381.9745,8170000
beximco,40.7,46.9,11328,605.7943,13272700
beximco,42.7,43.2,6859,380.8041,8746300
beximco,43.3,43.4,7203,361.6663,8217300
beximco,44.5,43.4,9868,451.8252,10586700
beximco,45.5,41,5867,236.313,5695300
beximco,45.8,40.3,6143,265.8767,6518100
beximco,45.2,41.2,4722,201.694,4815100
beximco,45,41.8,6607,269.793,6475300
beximco,44.9,40.1,4542,168.3248,4148900
beximco,45.8,40.6,4813,196.8364,4806900
beximco,47.5,40.8,4805,173.2092,4193500
beximco,46.9,41.7,5070,228.1555,5435900
beximco,45.8,42.4,5325,228.1812,5303600
beximco,45.1,42.2,5840,249.2459,5969100
beximco,45.9,41.4,5539,219.375,5244900
beximco,46.9,41.7,8462,403.0925,9461900
beximco,43.2,43.1,7859,486.1506,11357800
beximco,43.4,42.1,7743,360.9323,8532200
beximco,43.4,43.3,9060,502.5696,11437900
beximco,41,43.4,9849,475.4978,11279600
beximco,40.3,41.3,12178,658.1214,15883900
beximco,41.2,39.2,10151,483.1407,12413300
beximco,41.8,37.5,7331,372.6877,9826900
beximco,40.1,37.3,12581,490.1254,13400000
beximco,40.6,34.6,3436,147.9506,4245100
beximco,40.8,34.5,4562,191.8338,5563700
beximco,41.7,34,3582,127.661,3708200
beximco,42.4,34.5,5329,193.8491,5542300
beximco,42.2,34,3717,157.2695,4601800
beximco,41.4,33.4,6128,259.8836,7645500
beximco,41.7,34.1,5896,232.7999,6760000
beximco,43.1,35.2,5585,263.5057,7375400
beximco,42.1,36.1,7891,351.4058,9793800
beximco,43.3,35.1,6863,271.4622,7995200
beximco,43.4,32.8,12043,527.2465,16007200
beximco,41.3,35.9,5754,310.284,8716500
beximco,39.2,34.8,12472,600.6768,16765800
beximco,37.5,37.9,8517,490.8704,12833600
beximco,37.3,37.6,9608,426.0186,11483700
beximco,34.6,35.5,6768,305.9886,8665700
beximco,34.5,35.2,4535,235.2071,6717700
beximco,34,35,7323,380.7994,10767500
beximco,34.5,34.3,4710,218.5178,6404300
beximco,34,34.1,5755,226.5654,6762600
beximco,33.4,31.9,4047,120.8962,3906200
beximco,34.1,29.4,3345,108.5191,3630000
beximco,35.2,31.2,1940,61.5057,1936900
beximco,36.1,31.6,2997,110.6544,3513900
beximco,35.1,31.8,4550,165.5516,5095500
beximco,32.8,33.6,3902,181.7235,5306400
beximco,35.9,34.2,5013,206.7443,5976400
beximco,34.8,34.5,6869,313.5178,9252500
beximco,37.9,32.3,5130,213.6118,6467400
beximco,37.6,33.8,6267,265.5169,8057100
beximco,35.5,31.2,6171,240.854,7975700
beximco,35.2,29.1,4102,141.6058,4798200
beximco,35,29.5,4926,182.4866,6315300
beximco,34.3,27.7,3066,112.6237,4073200
beximco,34.1,26.7,2164,66.4763,2498100
beximco,31.9,26.9,3048,91.4493,3381400
beximco,29.4,27.4,4645,121.6229,4482300
beximco,31.2,26,4143,105.2381,4113800
beximco,31.6,24.1,1720,38.923,1593800
beximco,31.8,25,3302,73.2898,2883400
beximco,33.6,24.6,3596,84.9833,3524600
beximco,34.2,22.9,1770,28.8515,1246400
beximco,34.5,21.9,788,15.3127,700000
beximco,32.3,21.6,728,11.9034,549000
beximco,33.8,21.2,726,12.4692,585900
beximco,31.2,21.8,782,14.5456,671800
beximco,29.1,21.5,878,16.0247,732600
beximco,29.5,22.1,969,18.1516,815200
beximco,27.7,22.5,667,12.1973,538600
beximco,26.7,22.8,632,13.4691,586200
beximco,26.9,23.2,1074,23.1185,1000400
beximco,27.4,22.8,582,11.4566,503700
beximco,26,22.6,773,14.5986,643100
beximco,24.1,22.8,678,12.8853,561400
beximco,25,23.3,645,11.6199,493000
beximco,24.6,23.7,1980,39.4849,1664800
beximco,22.9,22.8,794,13.8638,605200
beximco,21.9,22.6,689,13.4858,593700
beximco,21.6,22.5,1215,19.3271,848700
beximco,21.2,26.1,1274,30.5874,1172500
beximco,21.8,26,945,19.5009,744900
beximco,21.5,26.6,727,16.1099,603300
beximco,22.1,26.6,690,13.8777,519100
beximco,22.5,26.8,748,13.7866,512300
beximco,22.8,27.2,932,15.7811,576200
